Period,#,Cum. net profit,Net profit,Gross profit,Gross loss,Commission,Cum. max. drawdown,Max. drawdown,% Win,Avg. trade,Avg. winner,Avg. loser,Lrg. winner,Lrg. loser,MTR,Avg. MAE,Avg. MFE,Avg. ETD,% Trade,
1/14/2026,1,($1240.76),($1240.76),$0.00,($1240.76),$5.76,($1240.76),($1240.76),0.00%,($1240.76),$0.00,($1240.76),$0.00,($1240.76),20.00,$1440.00,$435.00,$1675.76,4.76%,
1/20/2026,1,($2801.52),($1560.76),$0.00,($1560.76),$5.76,($2801.52),($1560.76),0.00%,($1560.76),$0.00,($1560.76),$0.00,($1560.76),150.00,$1660.00,$1920.00,$3480.76,4.76%,
1/29/2026,2,($4278.04),($1476.52),$584.24,($2060.76),$11.52,($4862.28),($2060.76),50.00%,($738.26),$584.24,($2060.76),$584.24,($2060.76),225.00,$1737.50,$807.50,$1545.76,9.52%,
2/5/2026,1,($508.80),$3769.24,$3769.24,$0.00,$5.76,($508.80),$0.00,100.00%,$3769.24,$3769.24,$0.00,$3769.24,$0.00,295.00,$3160.00,$3930.00,$160.76,4.76%,
2/10/2026,1,($1804.56),($1295.76),$0.00,($1295.76),$5.76,($1804.56),($1295.76),0.00%,($1295.76),$0.00,($1295.76),$0.00,($1295.76),205.00,$1390.00,$1210.00,$2505.76,4.76%,
2/17/2026,1,($4960.32),($3155.76),$0.00,($3155.76),$5.76,($4960.32),($3155.76),0.00%,($3155.76),$0.00,($3155.76),$0.00,($3155.76),20.00,$3270.00,$610.00,$3765.76,4.76%,
2/20/2026,1,($2631.08),$2329.24,$2329.24,$0.00,$5.76,($2631.08),$0.00,100.00%,$2329.24,$2329.24,$0.00,$2329.24,$0.00,25.00,$145.00,$2500.00,$170.76,4.76%,
2/24/2026,1,($1036.84),$1594.24,$1594.24,$0.00,$5.76,($1036.84),$0.00,100.00%,$1594.24,$1594.24,$0.00,$1594.24,$0.00,85.00,$280.00,$1740.00,$145.76,4.76%,
3/3/2026,2,($258.36),$778.48,$2889.24,($2110.76),$11.52,($2110.76),($2110.76),50.00%,$389.24,$2889.24,($2110.76),$2889.24,($2110.76),100.00,$1867.50,$1735.00,$1345.76,9.52%,
3/5/2026,1,$80.88,$339.24,$339.24,$0.00,$5.76,($1771.52),$0.00,100.00%,$339.24,$339.24,$0.00,$339.24,$0.00,125.00,$75.00,$940.00,$600.76,4.76%,
3/11/2026,1,($1574.88),($1655.76),$0.00,($1655.76),$5.76,($3427.28),($1655.76),0.00%,($1655.76),$0.00,($1655.76),$0.00,($1655.76),10.00,$1700.00,$165.00,$1820.76,4.76%,
3/12/2026,1,$344.36,$1919.24,$1919.24,$0.00,$5.76,($1508.04),$0.00,100.00%,$1919.24,$1919.24,$0.00,$1919.24,$0.00,325.00,$1105.00,$2380.00,$460.76,4.76%,
3/16/2026,1,($241.40),($585.76),$0.00,($585.76),$5.76,($2093.80),($585.76),0.00%,($585.76),$0.00,($585.76),$0.00,($585.76),120.00,$645.00,$485.00,$1070.76,4.76%,
3/23/2026,1,($2682.16),($2440.76),$0.00,($2440.76),$5.76,($4534.56),($2440.76),0.00%,($2440.76),$0.00,($2440.76),$0.00,($2440.76),10.00,$2670.00,$210.00,$2650.76,4.76%,
3/27/2026,1,($622.92),$2059.24,$2059.24,$0.00,$5.76,($2475.32),$0.00,100.00%,$2059.24,$2059.24,$0.00,$2059.24,$0.00,50.00,$280.00,$2130.00,$70.76,4.76%,
4/6/2026,1,($2443.68),($1820.76),$0.00,($1820.76),$5.76,($4296.08),($1820.76),0.00%,($1820.76),$0.00,($1820.76),$0.00,($1820.76),150.00,$2290.00,$590.00,$2410.76,4.76%,
4/7/2026,3,($4420.96),($1977.28),$1624.24,($3601.52),$17.28,($6273.36),($1977.28),33.33%,($659.09),$1624.24,($1800.76),$1624.24,($1955.76),230.00,$1668.33,$1046.67,$1705.76,14.29%,
