Performance,All trades,Long trades,Short trades,
Total net profit,($4420.96),($5436.08),$1015.12,
Gross profit,$17108.16,$3923.48,$13184.68,
Gross loss,($21529.12),($9359.56),($12169.56),
Commission,$120.96,$46.08,$74.88,
Profit factor,0.79,0.42,1.08,
Max. drawdown,($6273.36),($6503.04),($3301.52),
Sharpe ratio,-0.46,-0.67,0.13,
Sortino ratio,-0.56,-0.82,0.24,
Ulcer index,0.01,0.01,0.00,
R squared,0.00,0.25,0.56,
Total Fees,$0.00,$0.00,$0.00,
Probability,68.79%,89.56%,43.57%,
,,,,
Start date,1/1/2026,,,
Start time,12:00 AM,,,
End date,4/9/2026,,,
End time,12:00 AM,,,
,,,,
Total # of trades,21,8,13,
Percent profitable,42.86%,25.00%,53.85%,
# of winning trades,9,2,7,
# of losing trades,12,6,6,
# of even trades,0,0,0,
,,,,
Total slippage,17.5,7,10.5,
,,,,
Avg. trade,($210.52),($679.51),$78.09,
Avg. winning trade,$1900.91,$1961.74,$1883.53,
Avg. losing trade,($1794.09),($1559.93),($2028.26),
Ratio avg. win / avg. loss,1.06,1.26,0.93,
,,,,
Max. consec. winners,3,2,3,
Max. consec. losers,3,4,2,
Largest winning trade,$3769.24,$2329.24,$3769.24,
Largest losing trade,($3155.76),($2440.76),($3155.76),
,,,,
Avg. # of trades per day,0.36,0.15,0.22,
Avg. time in market,95.24 min,94.38 min,95.77 min,
Avg. bars in trade,17.33,17.38,17.31,
Profit per month,($1605.23),($2153.25),$368.59,
Max. time to recover,40.89 days,41.01 days,34.98 days,
Longest flat period,9.93 days,20.93 days,14.93 days,
,,,,
Avg. MAE,$1539.29,$1347.50,$1657.31,
Avg. MFE,$1308.10,$1102.50,$1434.62,
Avg. ETD,$1518.62,$1782.01,$1356.53,
